t=0 clk=0 rst=1 wr=0 rd=0 full=x empty=x valid=x data_in=00000000 data_out=xxxxxxxx
t=5000 clk=1 rst=1 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=00000000
t=10000 clk=0 rst=1 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=00000000
t=15000 clk=1 rst=1 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=00000000
t=20000 clk=0 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=00000000
t=25000 clk=1 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=00000000
t=30000 clk=0 rst=0 wr=1 rd=0 full=0 empty=1 valid=0 data_in=11111111 data_out=00000000
t=35000 clk=1 rst=0 wr=1 rd=0 full=0 empty=0 valid=1 data_in=11111111 data_out=00000000
t=40000 clk=0 rst=0 wr=0 rd=0 full=0 empty=0 valid=1 data_in=00000000 data_out=00000000
t=45000 clk=1 rst=0 wr=0 rd=0 full=0 empty=0 valid=1 data_in=00000000 data_out=00000000
t=50000 clk=0 rst=0 wr=0 rd=0 full=0 empty=0 valid=1 data_in=00000000 data_out=00000000
t=55000 clk=1 rst=0 wr=0 rd=0 full=0 empty=0 valid=1 data_in=00000000 data_out=00000000
t=60000 clk=0 rst=0 wr=0 rd=1 full=0 empty=0 valid=1 data_in=00000000 data_out=00000000
t=65000 clk=1 rst=0 wr=0 rd=1 full=0 empty=1 valid=0 data_in=00000000 data_out=11111111
t=70000 clk=0 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=11111111
t=75000 clk=1 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=11111111
t=80000 clk=0 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=11111111
t=85000 clk=1 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=11111111
t=90000 clk=0 rst=0 wr=1 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=11111111
t=95000 clk=1 rst=0 wr=1 rd=0 full=0 empty=0 valid=1 data_in=00000000 data_out=11111111
t=100000 clk=0 rst=0 wr=1 rd=0 full=0 empty=0 valid=1 data_in=11111111 data_out=11111111
t=105000 clk=1 rst=0 wr=1 rd=0 full=0 empty=0 valid=1 data_in=11111111 data_out=11111111
t=110000 clk=0 rst=0 wr=1 rd=0 full=0 empty=0 valid=1 data_in=22222222 data_out=11111111
t=115000 clk=1 rst=0 wr=1 rd=0 full=0 empty=0 valid=1 data_in=22222222 data_out=11111111
t=120000 clk=0 rst=0 wr=1 rd=0 full=0 empty=0 valid=1 data_in=33333333 data_out=11111111
t=125000 clk=1 rst=0 wr=1 rd=0 full=0 empty=0 valid=1 data_in=33333333 data_out=11111111
t=130000 clk=0 rst=0 wr=1 rd=0 full=0 empty=0 valid=1 data_in=44444444 data_out=11111111
t=135000 clk=1 rst=0 wr=1 rd=0 full=0 empty=0 valid=1 data_in=44444444 data_out=11111111
t=140000 clk=0 rst=0 wr=1 rd=0 full=0 empty=0 valid=1 data_in=55555555 data_out=11111111
t=145000 clk=1 rst=0 wr=1 rd=0 full=0 empty=0 valid=1 data_in=55555555 data_out=11111111
t=150000 clk=0 rst=0 wr=1 rd=0 full=0 empty=0 valid=1 data_in=66666666 data_out=11111111
t=155000 clk=1 rst=0 wr=1 rd=0 full=1 empty=0 valid=1 data_in=66666666 data_out=11111111
t=160000 clk=0 rst=0 wr=1 rd=0 full=1 empty=0 valid=1 data_in=77777777 data_out=11111111
t=165000 clk=1 rst=0 wr=1 rd=0 full=1 empty=0 valid=1 data_in=77777777 data_out=11111111
t=170000 clk=0 rst=0 wr=0 rd=0 full=1 empty=0 valid=1 data_in=00000000 data_out=11111111
t=175000 clk=1 rst=0 wr=0 rd=0 full=1 empty=0 valid=1 data_in=00000000 data_out=11111111
t=180000 clk=0 rst=0 wr=0 rd=0 full=1 empty=0 valid=1 data_in=00000000 data_out=11111111
t=185000 clk=1 rst=0 wr=0 rd=0 full=1 empty=0 valid=1 data_in=00000000 data_out=11111111
t=190000 clk=0 rst=0 wr=1 rd=0 full=1 empty=0 valid=1 data_in=ffffffff data_out=11111111
t=195000 clk=1 rst=0 wr=1 rd=0 full=1 empty=0 valid=1 data_in=ffffffff data_out=11111111
t=200000 clk=0 rst=0 wr=0 rd=0 full=1 empty=0 valid=1 data_in=00000000 data_out=11111111
t=205000 clk=1 rst=0 wr=0 rd=0 full=1 empty=0 valid=1 data_in=00000000 data_out=11111111
t=210000 clk=0 rst=0 wr=0 rd=0 full=1 empty=0 valid=1 data_in=00000000 data_out=11111111
t=215000 clk=1 rst=0 wr=0 rd=0 full=1 empty=0 valid=1 data_in=00000000 data_out=11111111
t=220000 clk=0 rst=0 wr=0 rd=1 full=1 empty=0 valid=1 data_in=00000000 data_out=11111111
t=225000 clk=1 rst=0 wr=0 rd=1 full=0 empty=0 valid=1 data_in=00000000 data_out=00000000
t=230000 clk=0 rst=0 wr=0 rd=1 full=0 empty=0 valid=1 data_in=00000000 data_out=00000000
t=235000 clk=1 rst=0 wr=0 rd=1 full=0 empty=0 valid=1 data_in=00000000 data_out=11111111
t=240000 clk=0 rst=0 wr=0 rd=1 full=0 empty=0 valid=1 data_in=00000000 data_out=11111111
t=245000 clk=1 rst=0 wr=0 rd=1 full=0 empty=0 valid=1 data_in=00000000 data_out=22222222
t=250000 clk=0 rst=0 wr=0 rd=1 full=0 empty=0 valid=1 data_in=00000000 data_out=22222222
t=255000 clk=1 rst=0 wr=0 rd=1 full=0 empty=0 valid=1 data_in=00000000 data_out=33333333
t=260000 clk=0 rst=0 wr=0 rd=1 full=0 empty=0 valid=1 data_in=00000000 data_out=33333333
t=265000 clk=1 rst=0 wr=0 rd=1 full=0 empty=0 valid=1 data_in=00000000 data_out=44444444
t=270000 clk=0 rst=0 wr=0 rd=1 full=0 empty=0 valid=1 data_in=00000000 data_out=44444444
t=275000 clk=1 rst=0 wr=0 rd=1 full=0 empty=0 valid=1 data_in=00000000 data_out=55555555
t=280000 clk=0 rst=0 wr=0 rd=1 full=0 empty=0 valid=1 data_in=00000000 data_out=55555555
t=285000 clk=1 rst=0 wr=0 rd=1 full=0 empty=1 valid=0 data_in=00000000 data_out=66666666
t=290000 clk=0 rst=0 wr=0 rd=1 full=0 empty=1 valid=0 data_in=00000000 data_out=66666666
t=295000 clk=1 rst=0 wr=0 rd=1 full=0 empty=1 valid=0 data_in=00000000 data_out=66666666
t=300000 clk=0 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=66666666
t=305000 clk=1 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=66666666
t=310000 clk=0 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=66666666
t=315000 clk=1 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=66666666
t=320000 clk=0 rst=0 wr=0 rd=1 full=0 empty=1 valid=0 data_in=00000000 data_out=66666666
t=325000 clk=1 rst=0 wr=0 rd=1 full=0 empty=1 valid=0 data_in=00000000 data_out=66666666
t=330000 clk=0 rst=0 wr=0 rd=1 full=0 empty=1 valid=0 data_in=00000000 data_out=66666666
t=335000 clk=1 rst=0 wr=0 rd=1 full=0 empty=1 valid=0 data_in=00000000 data_out=66666666
t=340000 clk=0 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=66666666
t=345000 clk=1 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=66666666
t=350000 clk=0 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=66666666
t=355000 clk=1 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=66666666
t=360000 clk=0 rst=0 wr=1 rd=0 full=0 empty=1 valid=0 data_in=aaaaaaaa data_out=66666666
t=365000 clk=1 rst=0 wr=1 rd=0 full=0 empty=0 valid=1 data_in=aaaaaaaa data_out=66666666
t=370000 clk=0 rst=0 wr=1 rd=1 full=0 empty=0 valid=1 data_in=bbbbbbbb data_out=66666666
t=375000 clk=1 rst=0 wr=1 rd=1 full=0 empty=0 valid=1 data_in=bbbbbbbb data_out=aaaaaaaa
t=380000 clk=0 rst=0 wr=0 rd=1 full=0 empty=0 valid=1 data_in=00000000 data_out=aaaaaaaa
t=385000 clk=1 rst=0 wr=0 rd=1 full=0 empty=1 valid=0 data_in=00000000 data_out=bbbbbbbb
t=390000 clk=0 rst=0 wr=0 rd=1 full=0 empty=1 valid=0 data_in=00000000 data_out=bbbbbbbb
t=395000 clk=1 rst=0 wr=0 rd=1 full=0 empty=1 valid=0 data_in=00000000 data_out=bbbbbbbb
t=400000 clk=0 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=bbbbbbbb
t=405000 clk=1 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=bbbbbbbb
t=410000 clk=0 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=bbbbbbbb
t=415000 clk=1 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=bbbbbbbb
t=420000 clk=0 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=bbbbbbbb
t=425000 clk=1 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=bbbbbbbb
t=430000 clk=0 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=bbbbbbbb
t=435000 clk=1 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=bbbbbbbb
t=440000 clk=0 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=bbbbbbbb
t=445000 clk=1 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=bbbbbbbb
testbench.sv:117: $finish called at 450000 (1ps)
t=450000 clk=0 rst=0 wr=0 rd=0 full=0 empty=1 valid=0 data_in=00000000 data_out=bbbbbbbb
